		名詞	
あべれーじ	Average	名詞	ビジネス
あぽかりぷす	Apocalypse	名詞	ゲーム用語
あぽろん	Apollo	名詞	ゲーム用語
あみゅれっと	Amulet	名詞	ゲーム用語
あめじすと	Amethyst	名詞	色・素材
あも	Ammo	名詞	機械・軍事
あもるたす	Amorphous	名詞	ビジネス
あらーと	Alert	名詞	一般IT
あらいあんす	Alliance	名詞	一般ビジネス
あらいんめん	Alignment	名詞	タイポグラフィ
あらいんめんと	Alignment	名詞	映像用語
あらかると	A la carte	名詞	一般ビジネス
あらくにっど	Arachnid	名詞	植物・生物
ありあしんぐ	Aliasing	名詞	制作・運用
ありーな	Arena	名詞	ゲーム用語
あるけみすと	Alchemist	名詞	ゲーム用語
あるごりずむ	Algorithm	名詞	IT
あるじー	Algae	名詞	植物・生物
あるたいる	Altair	名詞	天体・宇宙
あるてみす	Artemis	名詞	ゲーム用語
あると	Alto	名詞	楽器・音楽
あるふぁ	Alpha	名詞	数・単位
あるふぁちゃんねる	Alpha Channel	名詞	映像用語
あるふぁてすと	Alpha Test	名詞	ゲーム用語
あるふぁばん	Alpha	名詞	ゲーム制作・経営
あるべど	Albedo	名詞	グラフィック・デザイン
あるみにうむ	Aluminum	名詞	色・素材
あろー	arrow	名詞	Unity/C#
あろーら	Aurora	名詞	気象・自然
あんいんすとーる	Uninstall	名詞	ゲーム用語
あんかー	Anchor	名詞	ウェブ・IT用語
あんかーぽいんと	Anchor Point	名詞	編集用語
あんぎゅらー	Angular	名詞	ウェブ・IT用語
あんけーと	Enquete	名詞	ビジネス
あんごうか	Encryption	名詞	ウェブ・IT用語
あんこもん	Uncommon	名詞	ゲーム用語
あんさんぶる	Ensemble	名詞	楽器・音楽
あんしぶる	Ansible	名詞	ウェブ・IT用語
あんしゃーぷますく	Unsharp Mask	名詞	編集用語
あんすろぴっく	Anthropic	名詞	ウェブ・IT用語
あんだーえくすぽーじゃー	Underexposure	名詞	映像用語
あんちえりあす	AntiAliasing	名詞	Unity/C#
あんちえりあす	Anti-aliasing	名詞	ゲーム用語
あんちぱたーん	Anti-pattern	名詞	IT
あんちぱたーん	AntiPattern	名詞	ウェブ・IT用語
あんてな	Antenna	名詞	機械・軍事
あんでゅ	Undo	名詞	映像用語
あんてろーぷ	Antelope	名詞	植物・生物
あんと	Ant	名詞	植物・生物
あんどぅ	Undo	名詞	Unity/C#
あんどろいど	Android	名詞	Unity/C#
あんないあてぃ	Anxiety	名詞	概念・抽象
あんばー	Amber	名詞	色・素材
あんばいあんと	Ambient	名詞	色・素材
あんばいあんとおくるーじょん	Ambient Occlusion	名詞	レベルデザイン
あんぱさんど	Ampersand	名詞	記号
あんぱしー	Empathy	名詞	概念・抽象
あんびえんす	Ambience	名詞	映像用語
あんぷ	Amplifier	名詞	楽器・音楽
あんふぃびあん	Amphibian	名詞	植物・生物
あんりある	Unreal	名詞	Unity/C#
いあーめーしょん	Immersion	名詞	ゲーム設計
いいー	IEEE	名詞	IT
いーうら	EULA	名詞	制作・運用
いーえっくすあーる	EXR	名詞	ファイル形式
いーきゅー	EQ	名詞	映像用語
いーさねっと	Ethernet	名詞	IT
いーしー	EC	名詞	略語
いーじー	Easy	名詞	ゲーム用語
いーじーいーず	Easy Ease	名詞	映像用語
いーしーえす	ECS	名詞	Unity/C#
いーしーつー	EC2	名詞	ウェブ・IT用語
いーじす	Aegis	名詞	ゲーム用語
いーじんぐ	Easing	名詞	IT
いーずあうと	Ease Out	名詞	映像用語
いーずいん	Ease In	名詞	映像用語
いーすと	East	名詞	抽象・方向
いーた	Eta	名詞	数・単位
いーてゅーいーてすと	E2ETest	名詞	ウェブ・IT用語
いーにゅめれーたー	IEnumerator	名詞	Unity/C#
いーぴーえす	EPS	名詞	ファイル形式
いーまっくす	Emacs	名詞	ウェブ・IT用語
いーらーにんぐ	e-Learning	名詞	ビジネス
いうーあーるえる	url	名詞	Unity/C#
いゔにんぐ	Evening	名詞	時間・季節
いおた	Iota	名詞	数・単位
いかろす	Icarus	名詞	ゲーム用語
いけあ	IKEA	名詞	ビジネス
いじー	Easy	名詞	ビジネス
いじぇくと	Eject	名詞	IT
いしかる	Ethical	名詞	ビジネス
いしざか	Petrify	名詞	ゲーム用語
いじりてぃ	Agility	名詞	ビジネス
いず	is	名詞	Unity/C#
いたりっく	Italic	名詞	編集用語
いどてっく	EdTech	名詞	IT
いなりー	Inary	名詞	IT
いぬめらぶる	IEnumerable	名詞	Unity/C#
いねーしゃる	Inertial	名詞	アート手法
いねーぶる	enable	名詞	Unity/C#
いばーじょん	Eversion	名詞	ビジネス
いばんじぇりすと	Evangelist	名詞	IT・ビジネス
いぷしろん	Epsilon	名詞	数・単位
いふぶん	if	名詞	Unity/C#
いふりーと	Ifrit	名詞	ゲーム用語
いべんと	event	名詞	Unity/C#
いべんと	Event	名詞	一般ビジネス
いべんとるーぷ	EventLoop	名詞	ウェブ・IT用語
いみゅたぶる	Immutable	名詞	IT
いみゅたぶるいんふら	ImmutableInfra	名詞	ウェブ・IT用語
いみゅにてぃ	Immunity	名詞	身体・解剖
いめーじ	Image	名詞	一般IT
いやりんぐ	Earring	名詞	ゲーム用語
いらすと	Illustration	名詞	一般IT
いらすとれーしょん	Illustration	名詞	グラフィック・デザイン
いらすとれーたー	Illustrator	名詞	IT
いらでぃあんす	Irradiance	名詞	アート手法
いりでっせんす	Iridescence	名詞	グラフィック・デザイン
いりゅーじょん	Illusion	名詞	概念・抽象
いるか	Dolphin	名詞	植物・生物
いん	Inn	名詞	建築・構造
いんあぷぱーちゃす	In-app Purchase	名詞	ゲーム制作・経営
いんくるーじょん	Inclusion	名詞	ビジネス
いんさいどせーるす	Inside Sales	名詞	ビジネス
いんじぇくしょん	Injection	名詞	ウェブ・IT用語
いんしでんと	Incident	名詞	ウェブ・IT用語
いんすたれーしょん	Installation	名詞	アート手法
いんすたんしえーと	Instantiate	名詞	Unity/C#
いんすたんす	Instance	名詞	一般IT
いんすたんてぃあす	Instantiates	名詞	Unity/C#
いんすとーる	install	名詞	Unity/C#
いんすとーる	Install	名詞	一般IT
いんすぺくたー	Inspector	名詞	Unity/C#
いんせくと	Insect	名詞	植物・生物
いんせぷしょん	Inception	名詞	ビジネス
いんせんてぃぶ	Incentive	名詞	ビジネス
いんたーなる	internal	名詞	Unity/C#
いんたーねっと	Internet	名詞	一般IT
いんたーばる	interval	名詞	Unity/C#
いんたーびゅー	Interview	名詞	一般ビジネス
いんたーふぇーす	interface	名詞	Unity/C#
いんたーふぇーす	Interface	名詞	一般IT
いんたーぽれーしょん	Interpolation	名詞	映像用語
いんたーれーす	Interlace	名詞	IT
いんたーれーす	Interlaced	名詞	映像用語
いんたらくしょん	Interaction	名詞	UI/UX
いんでぃー	Indie	名詞	ゲーム制作・経営
いんでぃご	Indigo	名詞	色・素材
いんでくさ	indexer	名詞	Unity/C#
いんてぐれーしょん	Integration	名詞	IT
いんてぐれーしょんてすと	IntegrationTest	名詞	ウェブ・IT用語
いんでざいん	InDesign	名詞	ツール・ブランド
いんでっくす	Index	名詞	Unity/C#
いんてりあ	Interior	名詞	抽象・方向
いんてりあでい	INT. DAY	名詞	映像用語
いんてりじぇんす	Intelligence	名詞	ゲーム用語
いんでりせんす	IntelliSense	名詞	Unity/C#
いんてれくちゅある	Intellectual	名詞	ビジネス
いんてれくちゅあるぷろぱてぃ	Intellectual Property	名詞	制作・運用
いんと	int	名詞	Unity/C#
いんとろ	Intro	名詞	映像用語
いんなーぐろー	Inner Glow	名詞	編集用語
いんなーしゃどう	Inner Shadow	名詞	編集用語
いんばーと	Invert	名詞	色・素材
いんぱくと	Impact	名詞	ビジネス
いんぱら	Impala	名詞	植物・生物
いんびとぅいーん	In-between	名詞	アート手法
いんふぃにっとすくろーる	Infinite Scroll	名詞	UI/UX
いんふぃにてぃ	Infinity	名詞	概念・抽象
いんふぇるの	Inferno	名詞	ゲーム用語
いんふぉ	info	名詞	Unity/C#
いんふぉめーしょん	Information	名詞	ウェブ・IT用語
いんふぉめーしょんあーきてくちゃ	Information Architecture	名詞	UI/UX
いんぷっと	Input	名詞	一般IT
いんぷっとしすてむ	InputSystem	名詞	Unity/C#
いんぷっとふぃーるど	InputField	名詞	Unity/C#
いんふら	Infrastructure	名詞	一般IT
いんふるえんさー	Influencer	名詞	制作・運用
いんふれーしょん	Inflation	名詞	ゲーム設計
いんへりたんす	Inheritance	名詞	ウェブ・IT用語
いんべんとり	inventory	名詞	Unity/C#
いんべんとり	Inventory	名詞	一般ビジネス
いんぼいす	Invoice	名詞	一般ビジネス
いんぽーと	Import	名詞	一般IT
いんらあくてぃぶ	Interactive	名詞	アート手法
いんらいん	Inline	名詞	制作・運用
ゔぁー	var	名詞	Unity/C#
ゔぁーご	Virgo	名詞	天体・宇宙
ゔぁーちゃる	virtual	名詞	Unity/C#
ゔぁーぼーす	Verbose	名詞	ウェブ・IT用語
ゔぁーみりおん	Vermilion	名詞	色・素材
ゔぁいざー	Visor	名詞	ファッション
ゔぁくしん	Vaccine	名詞	身体・解剖
ゔぁにっしんぐぽいんと	Vanishing Point	名詞	グラフィック・デザイン
ゔぁりあんと	Variant	名詞	制作・運用
ゔぁるきりー	Valkyrie	名詞	ゲーム用語
ゔぁれー	Valley	名詞	地形・環境
ゔぁんてーじぽいんと	Vantage Point	名詞	レベルデザイン
ゔぁんぱいあ	Vampire	名詞	ゲーム用語
ゔぁんぶれいす	Vambrace	名詞	装備部位
ゔぃあーる	VR	名詞	機械・軍事
うぃーくねす	Weakness	名詞	ゲーム用語
ゔぃーちゅー	Virtue	名詞	概念・抽象
うぃき	Wiki	名詞	IT
うぃざーど	Wizard	名詞	ゲーム用語
うぃじぇっと	Widget	名詞	一般IT
うぃすきー	Whiskey	名詞	素材・料理
ゔぃむ	Vim	名詞	ウェブ・IT用語
ゔぃら	Villa	名詞	建築・構造
ういるす	Virus	名詞	身体・解剖
うぃんたー	Winter	名詞	時間・季節
うぃんどう	Window	名詞	一般IT
うぃんどうず	Windows	名詞	Unity/C#
うーとぴあ	Utopia	名詞	抽象・方向
うーる	Wool	名詞	色・素材
うえい	Way	名詞	建築・構造
うぇいと	Weight	名詞	編集用語
うえいと	wait	名詞	Unity/C#
うえいと	Wait	名詞	制作・運用
うえいと	Weight	名詞	アート手法
うえいとぺいんと	Weight Painting	名詞	リギング
うぇいふぁいんでぃんぐ	Wayfinding	名詞	レベルデザイン
うぇいぽいんと	Waypoint	名詞	ゲーム設計
ゔぇいん	Vein	名詞	身体・解剖
うぇーぶ	wave	名詞	Unity/C#
うぇーぶふぉーむ	Waveform	名詞	映像用語
うえすと	West	名詞	抽象・方向
うえは	Wafer	名詞	IT
うぇびなー	Webinar	名詞	IT・ビジネス
うぇぶ	Web	名詞	一般IT
うぇぶあぷり	WebApp	名詞	ウェブ・IT用語
うぇぶじーえる	WebGL	名詞	Unity/C#
うぇぶそけっと	WebSocket	名詞	ウェブ・IT用語
うぇぶばいたる	WebVitals	名詞	ウェブ・IT用語
うぇぶぱっく	Webpack	名詞	ウェブ・IT用語
うえぶぴー	WebP	名詞	ファイル形式
うえぽん	weapon	名詞	Unity/C#
うぇるびーいんぐ	Well-being	名詞	ビジネス
うぇんずでー	Wednesday	名詞	時間・季節
ゔぉいど	void	名詞	Unity/C#
ゔぉーかる	Vocal	名詞	楽器・音楽
うぉーくふろー	Workflow	名詞	一般ビジネス
うぉーたー	Water	名詞	ゲーム用語
うぉーたーふぉーる	Waterfall	名詞	地形・環境
うぉーたーまーく	Watermark	名詞	映像用語
うぉーらす	Walrus	名詞	植物・生物
うぉーる	Wall	名詞	建築・構造
ゔぉくせるあーと	Voxel Art	名詞	アート手法
うぉっち	Watch	名詞	一般ビジネス
うぉりあー	Warrior	名詞	ゲーム用語
ゔぉりゅーめとりっく	Volumetric	名詞	レベルデザイン
うくれれ	Ukulele	名詞	楽器・音楽
うっど	Wood	名詞	地形・環境
うぷしろん	Upsilon	名詞	数・単位
うらぬす	Uranus	名詞	天体・宇宙
ゔりゅーむ	Volume	名詞	制作・運用
うるてぃま	Ultima	名詞	ゲーム用語
うるてぃまうぇぽん	Ultima Weapon	名詞	ゲーム用語
うるとらそにっく	Ultrasonic	名詞	アート手法
うんでぃーね	Undine	名詞	ゲーム用語
えあー	Air	名詞	一般ビジネス
えあくらふと	Aircraft	名詞	機械・軍事
えあぶらし	Airbrush	名詞	編集用語
えあぷれいん	Airplane	名詞	機械・軍事
えあろ	Aero	名詞	ゲーム用語
えいあいうぇあ	AI Upscaling	名詞	映像用語
えいあいうぇあ	Upscaling	名詞	映像用語
えいじぇんと	Agent	名詞	一般ビジネス
えいちえすえる	HSL	名詞	グラフィック・デザイン
えいちえすびー	HSB	名詞	グラフィック・デザイン
えいちでぃーあーる	HDR	名詞	映像用語
えいちにーろくご	H.265	名詞	映像用語
えいちにーろくよん	H.264	名詞	映像用語
えいちぴー	hp	名詞	Unity/C#
えいぷりる	April	名詞	時間・季節
えーあーる	AR	名詞	機械・軍事
えーあい	AI	名詞	略語
えーあいろぷす	AIOps	名詞	ウェブ・IT用語
えーじぇんと	Agent	名詞	ウェブ・IT用語
えーだぶりゅえす	AWS	名詞	ウェブ・IT用語
えーてる	Ether	名詞	概念・抽象
えーでるわいす	Edelweiss	名詞	植物・生物
えーぴーあい	API	名詞	略語
えーびーてすと	ABTest	名詞	ウェブ・IT用語
えーびーてすと	A/B Testing	名詞	UI/UX
えーぶいあい	AVI	名詞	映像用語
えーぽーず	A-pose	名詞	アート手法
えーろーる	A-roll	名詞	映像用語
えきす	Extract	名詞	素材・料理
えきすぱーと	Expert	名詞	一般ビジネス
えきすぱんしょん	Expansion	名詞	ビジネス
えくすえむえる	xml	名詞	Unity/C#
えくすえむえる	XML	名詞	略語
えくすかりばー	Excalibur	名詞	ゲーム用語
えくすたしー	Ecstasy	名詞	概念・抽象
えくすでぃー	XD	名詞	ツール・ブランド
えくすてりあ	Exterior	名詞	抽象・方向
えくすてりあないと	EXT. NIGHT	名詞	映像用語
えくすてんしょん	Extension	名詞	Unity/C#
えくすてんしょん	extension	名詞	Unity/C#
えくすとりーむあっぷ	Extreme Close Up	名詞	映像用語
えくすぱんしょん	Expansion	名詞	ゲーム用語
えくすぴー	xp	名詞	Unity/C#
えくすぴー	Experience	名詞	ゲーム用語
えくすぷれす	Express	名詞	ウェブ・IT用語
えくすぷれっしょん	Expression	名詞	映像用語
えくすぽーじゃー	Exposure	名詞	映像用語
えくすぽーと	Export	名詞	Unity/C#
えくせぷしょん	Exception	名詞	Unity/C#
えくますくりぷと	ECMAScript	名詞	ウェブ・IT用語
えくりぷす	Eclipse	名詞	天体・宇宙
えこー	Echo	名詞	映像用語
えこしすてむ	Ecosystem	名詞	一般ビジネス
えこじすてむ	Ecosystem	名詞	ビジネス
えこにみー	Economy	名詞	ゲーム設計
えしかる	Ethical	名詞	ビジネス
えしっくす	Ethics	名詞	概念・抽象
えすあーるいー	SRE	名詞	ウェブ・IT用語
えすあーるびー	ESRB	名詞	制作・運用
えすあい	SLI	名詞	ウェブ・IT用語
えすいー	SE	名詞	映像用語
えすいー	Sound Effect	名詞	サウンド
えすいーおー	SEO	名詞	略語
えすえすあーる	SSR	名詞	ウェブ・IT用語
えすえすえいち	SSH	名詞	ウェブ・IT用語
えすえすえーおー	SSAO	名詞	制作・運用
えすえすえる	SSL	名詞	略語
えすえすじー	SSG	名詞	ウェブ・IT用語
えすえすでぃー	SSD	名詞	制作・運用
えすえぬえす	SNS	名詞	略語
えすえふえー	SFA	名詞	略語
えすえふえっくす	SFX	名詞	アート手法
えすきゅーえす	SQS	名詞	ウェブ・IT用語
えすきゅーえる	sql	名詞	Unity/C#
えすきゅーえる	SQL	名詞	略語
えすきゅーえるいにじぇくしょん	SQLInjection	名詞	ウェブ・IT用語
えすきゅーらいと	SQLite	名詞	ウェブ・IT用語
えすさん	S3	名詞	ウェブ・IT用語
えすでぃーあーる	SDR	名詞	映像用語
えすでぃーけー	SDK	名詞	略語
えすな	Esuna	名詞	ゲーム用語
えすぴー	sp	名詞	Unity/C#
えすぴーえー	SPA	名詞	ウェブ・IT用語
えすぶいえぬ	SVN	名詞	制作・運用
えすぶいじー	SVG	名詞	ファイル形式
えすらー	SLA	名詞	略語
えすりんと	ESLint	名詞	ウェブ・IT用語
えすろー	SLO	名詞	ウェブ・IT用語
えたーなる	Eternal	名詞	概念・抽象
えたーにてぃ	Eternity	名詞	時間・季節
えっくすあーる	XR	名詞	アート手法
えっくすえすえす	XSS	名詞	ウェブ・IT用語
えっくすはいと	X-height	名詞	タイポグラフィ
えっじ	Edge	名詞	IT
えっしゅえすえいち	SSH	名詞	ウェブ・IT用語
えっせんす	Essence	名詞	素材・料理
えっちでぃーあーるぴー	HDRP	名詞	Unity/C#
えっちてぃーえむえる	html	名詞	Unity/C#
えっちてぃーえむえる	HTML	名詞	略語
えっちてぃーてぃーぴー	http	名詞	Unity/C#
えっちてぃーてぃーぴー	HTTP	名詞	ウェブ・IT用語
えっちてぃーてぃーぴーえす	HTTPS	名詞	ウェブ・IT用語
えでぃたー	editor	名詞	Unity/C#
えでぃたー	Editor	名詞	一般IT
えでぃたーうぃんどう	EditorWindow	名詞	Unity/C#
えでぃたーてすと	EditorTest	名詞	Unity/C#
えでぃてぃんぐ	Editing	名詞	映像用語
えどてっく	EdTech	名詞	略語
えなむ	enum	名詞	Unity/C#
えなむ	Enum	名詞	制作・運用
えぬえふてぃー	NFT	名詞	ウェブ・IT用語
えぬでぃーえー	NDA	名詞	制作・運用
えぬてぃーえすしー	NTSC	名詞	制作・運用
えぬぴーえむ	NPM	名詞	ウェブ・IT用語
えぬぴーしー	npc	名詞	Unity/C#
えぬぴーしー	NPC	名詞	ゲーム設計
えぬぶいえむいー	NVMe	名詞	制作・運用
えねみー	enemy	名詞	Unity/C#
えねるぎー	Energy	名詞	身体・解剖
えねるぎーほぞん	Energy Conservation	名詞	アート手法
えばんじぇりすと	Evangelist	名詞	IT・ビジネス
えぴっく	Epic	名詞	ゲーム用語
えびでんす	Evidence	名詞	一般ビジネス
えふあいでぃー	FID	名詞	ウェブ・IT用語
えふぇくつ	Effects	名詞	映像用語
えふぇくと	Effect	名詞	一般IT
えふえすあーる	FSR	名詞	制作・運用
えふけー	Forward Kinematics	名詞	リギング
えふち	F-Stop	名詞	映像用語
えふてぃーぴー	FTP	名詞	ウェブ・IT用語
えふぴーえす	FPS	名詞	ゲーム用語
えふびーえっくす	FBX	名詞	Unity/C#
えふもっど	FMOD	名詞	サウンド
えぽっく	Epoch	名詞	時間・季節
えぼにー	Ebony	名詞	色・素材
えみっしぶ	Emissive	名詞	色・素材
えみったー	Emitter	名詞	映像用語
えむあーる	MR	名詞	機械・軍事
